		 bits 	 rst 	 clk
VCD info: dumpfile counter.vcd opened for output.
		 xxxx	 x	 x
		 xxxx	 0	 0
		 0000	 0	 1
		 0000	 1	 0
		 1000	 1	 1
		 1000	 1	 0
		 1100	 1	 1
		 1100	 1	 0
		 1110	 1	 1
		 1110	 1	 0
		 1111	 1	 1
		 1111	 0	 0
		 0000	 0	 1
		 0000	 1	 0
		 1000	 1	 1
		 1000	 1	 0
		 1100	 1	 1
		 1100	 1	 0
		 1110	 1	 1
		 1110	 1	 0
		 1111	 1	 1
		 1111	 1	 0
		 0111	 1	 1
		 0111	 1	 0
		 0011	 1	 1
		 0011	 1	 0
		 0001	 1	 1
		 0001	 1	 0
		 0000	 1	 1
		 0000	 1	 0
		 1000	 1	 1
		 1000	 1	 0
		 1100	 1	 1
		 1100	 1	 0
		 1110	 1	 1
		 1110	 1	 0
		 1111	 1	 1
		 1111	 1	 0
		 0111	 1	 1
		 0111	 1	 0
		 0011	 1	 1
		 0011	 1	 0
		 0001	 1	 1
		 0001	 1	 0
		 0000	 1	 1
		 0000	 1	 0
		 1000	 1	 1
		 1000	 1	 0
